Area,Zipcode,Assigned
M1,10001,0
M1,10002,0
M1,10003,0
M1,10004,0
M1,10005,0
M1,10006,0
M1,10007,0
M1,10009,0
M1,10010,0
M1,10011,0
M1,10012,0
M1,10013,0
M1,10014,0
M1,10016,0
M1,10017,0
M1,10018,0
M1,10019,0
M1,10020,0
M1,10021,0
M1,10022,0
M1,10023,0
M1,10024,0
M1,10025,2
M1,10026,0
M1,10027,4
M1,10028,0
M1,10029,0
M1,10030,0
M1,10031,0
M1,10032,0
M1,10033,0
M1,10034,0
M1,10035,0
M1,10036,0
M1,10037,0
M1,10038,0
M1,10039,0
M1,10040,0
M1,10041,0
M1,10044,0
M1,10045,0
M1,10048,0
M1,10065,0
M1,10069,0
M1,10075,0
M1,10080,0
M1,10107,0
M1,10112,0
M1,10115,0
M1,10128,0
M1,10271,0
M1,10278,0
M1,10279,0
M1,10280,0
M1,10281,0
M1,10282,0
M1,10103,0
M1,10106,0
M1,10118,0
M1,10119,0
M1,10120,0
M1,10121,0
M1,10123,0
M1,10152,0
M1,10153,0
M1,10154,0
M1,10155,0
M1,10167,0
M1,10168,0
M1,10169,0
M1,10171,0
M1,10172,0
M1,10174,0
M1,10177,0
M1,10055,0
M1,10105,0
M1,10110,0
M1,10111,0
M1,10122,0
M1,10151,0
M1,10158,0
M1,10165,0
M1,10166,0
M1,10170,0
M1,10173,0
M1,10175,0
M1,10176,0
M1,10178,0
M1,10179,0
M1,10162,0
M2,10001,0
M2,10002,0
M2,10003,0
M2,10004,0
M2,10005,0
M2,10006,0
M2,10007,0
M2,10009,0
M2,10010,0
M2,10011,0
M2,10012,0
M2,10013,0
M2,10014,0
M2,10016,0
M2,10017,0
M2,10018,0
M2,10019,0
M2,10020,0
M2,10021,0
M2,10022,0
M2,10023,0
M2,10024,0
M2,10025,0
M2,10026,0
M2,10027,0
M2,10028,0
M2,10029,0
M2,10030,0
M2,10031,0
M2,10032,0
M2,10033,0
M2,10034,0
M2,10035,0
M2,10036,0
M2,10037,0
M2,10038,0
M2,10039,0
M2,10040,0
M2,10041,0
M2,10044,0
M2,10045,0
M2,10048,0
M2,10065,0
M2,10069,0
M2,10075,0
M2,10080,0
M2,10107,0
M2,10112,0
M2,10115,0
M2,10128,0
M2,10271,0
M2,10278,0
M2,10279,0
M2,10280,0
M2,10281,0
M2,10282,0
