Zipcode,Index
10168,69
10013,12
10048,42
10023,21
10034,32
10014,13
10019,17
10031,29
10038,36
10278,52
10153,65
10004,4
10112,48
10080,46
10279,53
10165,82
10155,67
10026,24
10280,54
10025,23
10044,40
10162,90
10020,18
10166,83
10022,20
10175,86
10010,9
10107,47
10176,87
10017,15
10039,37
10281,55
10024,22
10118,59
10005,5
10123,63
10174,73
10055,75
10119,60
10027,25
10028,26
10065,43
10033,31
10121,62
10169,70
10011,10
10179,89
10001,1
10271,51
10029,27
10154,66
10122,79
10003,3
10036,34
10012,11
10152,64
10105,76
10110,77
10040,38
10151,80
10075,45
10045,41
10120,61
10177,74
10128,50
10041,39
10170,84
10032,30
10178,88
10035,33
10115,49
10021,19
10111,78
10002,2
10171,71
10103,57
10172,72
10016,14
10018,16
10158,81
10173,85
10282,56
10106,58
10007,7
10006,6
10069,44
10037,35
10167,68
10009,8
10030,28
